Velocity,Thickness
2.40,0.00
2.40,0.00
5.72,3.80
5.89,4.10
5.81,4.10
2.52,0.00
2.71,0.00
3.20,0.00
3.52,0.00
3.71,0.00
4.32,0.00
3.06,0.00
2.50,0.00
2.50,0.00
2.50,0.00
2.50,0.00
2.50,0.00
2.50,0.00
3.40,0.40
5.05,2.90
2.62,0.00
2.62,0.00
4.44,0.20
4.58,0.60
4.46,1.00
4.23,0.20
4.40,0.30
4.00,0.50
4.00,0.60
3.00,0.00
3.00,0.00
3.00,0.00
3.50,1.20
5.00,1.20
4.80,1.10
4.70,1.90
2.81,0.00
4.30,0.03
3.69,0.04
3.20,0.00
3.20,0.02
3.40,0.02
4.19,0.00
4.19,0.00
5.04,0.00
4.44,0.00
3.45,0.00
3.28,0.00
3.29,0.00
2.80,0.00
3.00,0.00
3.00,0.00
2.70,0.00
2.70,0.00
3.00,0.00
3.00,0.00
3.80,0.10
3.50,0.20
3.30,0.60
3.50,0.00
3.50,0.00
4.47,0.50
5.40,4.10
5.40,4.10
3.69,0.75
3.97,0.50
4.73,0.40
5.65,2.40
4.90,1.90
4.40,0.00
4.40,0.00
4.70,0.40
4.70,0.00
4.70,0.30
4.13,1.50
5.78,6.00
4.80,0.75
5.46,4.40
5.60,1.50
5.75,3.40
4.00,0.60
5.00,0.35
2.58,0.00
3.60,0.00
3.00,0.00
2.50,0.40
2.50,0.40
4.39,0.00
5.80,0.80
4.90,1.30
2.73,0.00
3.12,0.00
3.15,0.00
3.38,0.00
3.24,0.00
3.34,0.00
4.50,3.40
2.00,0.00
2.00,0.00
2.00,0.00
2.00,0.00
4.10,0.50
4.50,0.20
4.10,0.35
4.50,0.15
4.50,0.00
3.25,0.00
4.61,0.40
4.61,0.40
3.95,0.00
3.75,0.00
3.70,0.40
4.10,0.40
3.70,0.40
3.80,0.40
4.80,2.40
4.75,5.00
4.75,8.00
4.60,1.70
5.09,5.90
5.38,4.80
