Site,Primary/ Alternate,Profile,CDP,Latitude,Longitude,Sediment Thickness,Water Depth
11B,Alternate,CREST01,12603,-30.22233,-15.03817,104,3057
12A,Alternate,CREST01,14712,-30.10376,-15.04832,96,3373
13A,Primary,CREST01,11923,-30.26056,-15.03490,50,3047
23A,Alternate,CREST1E,8724,-30.39535,-16.87974,162,3819
24A,Alternate,CREST1DE,3434,-30.40021,-16.93053,94,3676
25A,Primary,CREST02,12770,-30.40344,-16.92282,104,3691
31A,Alternate,CREST03,11346,-30.76406,-20.43255,183,4188
33B,Primary,CREST03,12300,-30.71029,-20.43390,138,4193
35A,Alternate,CREST03,13680,-30.63251,-20.43586,93,4157
41A,Alternate,CREST04,10926,-31.00332,-24.81913,203,4408
43A,Primary,CREST1BC,3252,-30.89618,-24.84162,148,4323
44A,Alternate,CREST1BC,2825,-30.89703,-24.86951,176,4283
53B,Primary,CREST1AB,3410,-30.94207,-26.69912,180,4985
54A,Primary,CREST1AB,3062,-30.94242,-26.72188,639,4996
55A,Alternate,CREST05,16750,-30.72151,-26.69525,126,4857
56A,Alternate,CREST1AB,4470,-30.94091,-26.62983,510,4998
